name	chrom	strand	txStart	txEnd
ENSG00000000003	X	-	99883667	99891803
ENSG00000000005	X	+	99839799	99854882
ENSG00000000419	20	-	49551404	49575087
ENSG00000000457	1	-	169821804	169863076
ENSG00000000460	1	+	169764550	169823221
ENSG00000000938	1	-	27938575	27961788
ENSG00000000971	1	+	196621008	196716634
ENSG00000001036	6	-	143815948	143832827
ENSG00000001084	6	-	53362139	53409927
ENSG00000001167	6	+	41040684	41067715
ENSG00000001460	1	-	24683489	24741587
ENSG00000001461	1	+	24742284	24795797
ENSG00000001497	X	-	64732462	64754636
ENSG00000001561	6	+	46097730	46114436
ENSG00000001617	3	+	50192562	50226508
ENSG00000001626	7	+	117120017	117308715
ENSG00000001629	7	+	91875548	92030698
ENSG00000001630	7	-	91741465	91763844
ENSG00000001631	7	-	91828283	91875414
ENSG00000002016	12	-	1021243	1058888
ENSG00000002330	11	-	64037302	64052111
ENSG00000002549	4	+	17578815	17609591
ENSG00000002586	X	+	2609220	2659350
ENSG00000002587	4	-	11394774	11431389
ENSG00000002726	7	+	150521715	150558592
ENSG00000002745	7	+	120969057	120981158
ENSG00000002746	7	+	43152198	43605600
ENSG00000002822	7	-	1855430	2272878
ENSG00000002834	17	+	37026112	37078023
ENSG00000002919	17	+	46184920	46200436
ENSG00000002933	7	+	150497491	150502197
ENSG00000003056	12	-	9092961	9102551
ENSG00000003096	X	-	117031777	117119243
ENSG00000003137	2	-	72356367	72375167
ENSG00000003147	7	-	8152814	8301911
ENSG00000003249	16	-	90071273	90076529
ENSG00000003393	2	-	202565277	202645912
ENSG00000003400	2	+	202047604	202086388
ENSG00000003402	2	+	201980827	202041410
ENSG00000003436	2	-	188328960	188419219
ENSG00000003509	2	+	37458809	37476303
ENSG00000003756	3	+	50126341	50156454
ENSG00000003987	8	-	17155539	17270836
ENSG00000003989	8	+	17396286	17428070
ENSG00000004059	7	+	127228399	127231759
ENSG00000004139	17	+	26698683	26728065
ENSG00000004142	17	-	26673659	26684473
ENSG00000004399	3	-	129274018	129325661
ENSG00000004455	1	-	33478645	33502593
ENSG00000004468	4	+	15779901	15854853
ENSG00000004478	12	+	2904119	2913124
ENSG00000004487	1	+	23345986	23410181
ENSG00000004534	3	+	49977466	50114683
ENSG00000004660	17	-	3768451	3796338
ENSG00000004700	12	-	21621845	21654527
ENSG00000004766	7	+	92861653	92988338
ENSG00000004776	19	-	36245469	36248980
ENSG00000004777	19	+	36266477	36279724
ENSG00000004779	16	-	23593192	23607612
ENSG00000004799	7	-	95212811	95225803
ENSG00000004809	6	-	110745890	110797844
ENSG00000004838	3	-	50378541	50384283
ENSG00000004846	7	+	20654830	20796632
ENSG00000004848	X	-	25021811	25034065
ENSG00000004864	7	-	95749533	95951459
ENSG00000004866	7	+	116593381	116863961
ENSG00000004897	17	-	45197621	45266542
ENSG00000004939	17	-	42325753	42345509
ENSG00000004948	7	-	93053799	93204042
ENSG00000004961	X	+	11129421	11141198
ENSG00000004975	17	-	7128660	7137864
ENSG00000005001	16	-	2902728	2908171
ENSG00000005007	19	+	18942747	18979045
